,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Славные парни (2016)
The Nice Guys","Джокер (2019)
Joker","Клик: С пультом по жизни
Click, 2006","Смертельное оружие (1987)
Lethal Weapon"
1,"Джокер (2019)
Joker","Побег из Нью-Йорка (1981)
Escape from New York (не тарков)","1+1
Intouchables, 2011","Здесь курят (2005)
Thank You for Smoking","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991"
2,"Леон
Léon, 1994","Неогранённые алмазы (2019)
Uncut Gems","Титаник (1997)
Titanic","Смертельное оружие (1987)
Lethal Weapon","
Небриллиантовая рука (2024)"
3,"Славные парни (2016)
The Nice Guys","Зона интересов (2023)
The Zone of Interest","Леон
Léon, 1994","Вне закона (1986)
Down by Law","Терминал (2004)
The Terminal"
4,"Титаник (1997)
Titanic","Здесь курят (2005)
Thank You for Smoking","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Анора (2024)
Anora","Клик: С пультом по жизни
Click, 2006"
5,"Криминальное чтиво
Pulp Fiction, 1994","Терминатор (1984)
The Terminator","Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Семь
Se7en, 1995","Анора (2024)
Anora"
6,"Американская история X (1998)
American History X","Смертельное оружие (1987)
Lethal Weapon","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Эта дурацкая любовь (2011)
Crazy, Stupid, Love.","
Мемуары Улитки (2024)
Memoir of a Snail"
7,"Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Билли Мэдисон
Billy Madison, 1995","Семь
Se7en, 1995","
Мемуары Улитки (2024)
Memoir of a Snail","Семь
Se7en, 1995"
8,"Терминатор (1984)
The Terminator","Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу (1963)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","Криминальное чтиво
Pulp Fiction, 1994","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Американская история X (1998)
American History X"
9,"Зона интересов (2023)
The Zone of Interest","Как поймать монстра (2014)
Lost River","Чужой
Alien, 1979","Американская история X (1998)
American History X","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World"
