,KNN,Random,Popular,Election_series_SNTV,Election_remove_bad_SNTV,Election_series_BnB,Election_remove_bad_BnB
0,"Джокер (2019)
Joker","Мартовские иды (2011)
The Ides of March","Джокер (2019)
Joker",Чужие (1986),"Бегущий по лезвию 2049 (2017)
Blade Runner 2049","Билли Мэдисон
Billy Madison, 1995","Ловушка (2024)
Trap"
1,"Титаник (1997)
Titanic","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Титаник (1997)
Titanic","Субстанция (2024)
The Substance","Билли Мэдисон
Billy Madison, 1995","Игра на понижение (2015)
The Big Short","Игра на понижение (2015)
The Big Short"
2,"Драйв (2011)
Drive","Пчеловод (2024)
The Beekeeper","Мстители: Финал (2019)
Avengers: Endgame","Человек на Луне (2018)
First Man",Чужие (1986),"Ловушка (2024)
Trap","Человек на Луне (2018)
First Man"
3,"Круэлла (2021)
Cruella",День радио (2008),"Круэлла (2021)
Cruella","Джокер (2019)
Joker","Субстанция (2024)
The Substance","Страсти Христовы
The Passion of the Christ, 2004","Круэлла (2021)
Cruella"
4,Чужие (1986),"Полу-Нельсон (2006)
Half Nelson","Барби (2023)
Barbie","Страсти Христовы
The Passion of the Christ, 2004","Человек на Луне (2018)
First Man","Круэлла (2021)
Cruella","Билли Мэдисон
Billy Madison, 1995"
5,"Фарго (1995)
Fargo","Каскадёры (2024)
The Fall Guy","Драйв (2011)
Drive","Терминал (2004)
The Terminal","Джокер (2019)
Joker","Человек на Луне (2018)
First Man","Зодиак (2007)
Zodiac"
6,"Терминал (2004)
The Terminal","Зона интересов (2023)
The Zone of Interest","Бегущий по лезвию 2049 (2017)
Blade Runner 2049","Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish","Фарго (1995)
Fargo","Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish","Фарго (1995)
Fargo"
7,"Чужой
Alien, 1979","Не говори никому (2024)
Speak No Evil","Чужой
Alien, 1979","Перелом (2007)
Fracture","Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish","Терминал (2004)
The Terminal","Психо (1960)
Psycho"
8,"Телохранитель киллера (2017)
The Hitman's Bodyguard","Мстители: Финал (2019)
Avengers: Endgame","Оппенгеймер (2023)
Oppenheimer","Психо (1960)
Psycho","Психо (1960)
Psycho","Зодиак (2007)
Zodiac","Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish"
9,"Бегущий по лезвию 2049 (2017)
Blade Runner 2049","Только бог простит (2012)
Only God Forgives","Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish","Фарго (1995)
Fargo","Терминал (2004)
The Terminal","Психо (1960)
Psycho","Терминал (2004)
The Terminal"
10,,,,,,"Фарго (1995)
Fargo",
